항공사,편명,공항,상대공항,출발시간,도착시간,운항요일,시작일자,종료일자,기종,비고
ZE,ZE206,CJU,GMP,08:30,09:35,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE207,GMP,CJU,09:45,10:50,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE208,CJU,GMP,09:30,10:35,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE209,GMP,CJU,10:20,11:25,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE210,CJU,GMP,10:00,11:05,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE211,GMP,CJU,11:05,12:10,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE212,CJU,GMP,11:25,12:30,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE213,GMP,CJU,11:40,12:45,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE214,CJU,GMP,12:50,13:55,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE215,GMP,CJU,13:05,14:10,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE216,CJU,GMP,13:20,14:25,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE217,GMP,CJU,14:45,15:50,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE218,CJU,GMP,14:45,15:50,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE219,GMP,CJU,15:20,16:25,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE220,CJU,GMP,14:50,15:55,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE221,GMP,CJU,16:25,17:30,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE222,CJU,GMP,17:00,18:05,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE223,GMP,CJU,16:30,17:35,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE224,CJU,GMP,18:05,19:10,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE225,GMP,CJU,18:40,19:45,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE226,CJU,GMP,18:10,19:15,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE227,GMP,CJU,19:45,20:50,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE228,CJU,GMP,20:20,21:25,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE229,GMP,CJU,19:50,20:55,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE230,CJU,GMP,21:25,22:30,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE232,CJU,GMP,21:35,22:40,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE234,CJU,GMP,18:35,19:40,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE235,GMP,CJU,20:30,21:35,월화목토,2016-03-27,2016-10-29,B738,
ZE,ZE235,GMP,CJU,20:10,21:15,수금일,2016-03-27,2016-10-29,B738,
ZE,ZE257,GMP,CJU,18:15,19:20,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE301,KUV,CJU,13:25,14:15,월화수목금토일,2016-03-27,2016-10-29,B738,
ZE,ZE302,CJU,KUV,12:00,12:50,월화수목금토일,2016-03-27,2016-10-29,B738,
